created,month_created,weeknum_created,day_created,id,applicant,job_title,stage_type,reject_reason,rejected_at,hired_at,referring_site
3/15/2023,March,11,Wednesday,50819242,John  Taylor,Dental Receptionist,Screening,Unresponsive,4/11/2023,,Indeed
3/15/2023,March,11,Wednesday,50847767,Frank  Davis,Orthodontic Dental Assistant,Inbox,Other reasons,4/3/2023,,Indeed
3/15/2023,March,11,Wednesday,50885410,Grace  Wilson,Dental Patient Relations Manager,Interview,Unresponsive,3/28/2023,,Indeed
3/16/2023,March,11,Thursday,50957164,Charlie  Brown,Dental Receptionist,Screening,Other reasons,3/30/2023,,Indeed
3/16/2023,March,11,Thursday,50965416,Alice  Brown,Dental Billing Coordinator,Interview,Unresponsive,4/4/2023,,Indeed
3/16/2023,March,11,Thursday,50982670,Frank  Moore,Dental Receptionist,Screening,Other reasons,4/3/2023,,Google
3/17/2023,March,11,Friday,51008351,Ethan  Miller,Dental Business Operations Manager,Interview,No show,3/30/2023,,Indeed
3/17/2023,March,11,Friday,51054407,Grace  Davis,Dental Receptionist,Inbox,More qualified candidate selected,3/22/2023,,ZipRecruiter
3/17/2023,March,11,Friday,51062190,Frank  Smith,Dental Patient Relations Manager,Screening,Commute & location,3/21/2023,,Indeed
3/17/2023,March,11,Friday,51070322,Diana  Brown,Dental Patient Relations Manager,Screening,No show,3/30/2023,,Indeed
3/17/2023,March,11,Friday,51079587,Diana  Smith,Dental Billing Coordinator,Screening,Commute & location,3/21/2023,,Indeed
3/17/2023,March,11,Friday,51080486,Frank  Brown,Dental Patient Relations Manager,Interview,No show,4/3/2023,,Indeed
3/18/2023,March,11,Saturday,51085006,Jane  Smith,Dental Business Operations Manager,Screening,More qualified candidate selected,3/21/2023,,Indeed
3/18/2023,March,11,Saturday,51100812,Diana  Davis,Treatment Coordinator,Inbox,Other reasons,3/23/2023,,Indeed
3/18/2023,March,11,Saturday,51100942,John  Williams,Dentist,Inbox,Lacking relevant experience,3/24/2023,,Indeed
3/18/2023,March,11,Saturday,51107079,John  Miller,Dental Assistant,Interview,Other reasons,3/30/2023,,Indeed
3/19/2023,March,11,Sunday,51127907,Bob  Moore,Treatment Coordinator/Foreign Dentists,Screening,Commute & location,3/30/2023,,Indeed
3/19/2023,March,11,Sunday,51151028,Emma  Williams,Dental Business Operations Manager,Screening,More qualified candidate selected,3/21/2023,,Indeed
3/19/2023,March,11,Sunday,51155180,Grace  Moore,Treatment Coordinator,Screening,Lacking relevant experience,5/8/2023,,Indeed
3/19/2023,March,11,Sunday,51163054,Frank  Davis,Dental Receptionist,Inbox,Lacking relevant experience,3/21/2023,,Indeed
3/19/2023,March,11,Sunday,51170613,Bob  Jones,Dental Billing Coordinator,Interview,Unresponsive,4/4/2023,,Indeed
3/20/2023,March,12,Monday,51175546,Grace  Miller,Treatment Coordinator/Foreign Dentists,Screening,Lacking relevant experience,5/30/2023,,Indeed
3/20/2023,March,12,Monday,51254693,Diana  Jones,Dental Assistant,Inbox,Unresponsive,3/24/2023,,Indeed
3/20/2023,March,12,Monday,51265373,Alice  Taylor,Dental Receptionist,Inbox,More qualified candidate selected,3/22/2023,,Indeed
3/20/2023,March,12,Monday,51268157,Frank  Johnson,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Never Responded,6/5/2023,,Indeed
3/21/2023,March,12,Tuesday,51328447,Emma  Wilson,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Indeed
3/21/2023,March,12,Tuesday,51347171,Charlie  Brown,Dental Business Operations Manager,Inbox,More qualified candidate selected,3/22/2023,,Unknown
3/21/2023,March,12,Tuesday,51350908,Jane  Smith,Weekend Dental Assistant,Interview,Other reasons,3/30/2023,,Indeed
3/22/2023,March,12,Wednesday,51375011,Jane  Wilson,Orthodontist,Screening,Pipeline,5/30/2023,,Indeed
3/22/2023,March,12,Wednesday,51420252,Bob  Wilson,Dental Patient Relations Manager,Inbox,More qualified candidate selected,3/22/2023,,Indeed
3/22/2023,March,12,Wednesday,51456007,Grace  Davis,Dental Patient Relations Manager,Hired,,,4/3/2023,Indeed
3/23/2023,March,12,Thursday,51471441,Frank  Wilson,Orthodontic Dental Assistant,Screening,Position Filled,5/8/2023,,Indeed
3/23/2023,March,12,Thursday,51476018,Jane  Taylor,Dental Assistant,Inbox,Lacking relevant experience,3/24/2023,,Indeed
3/23/2023,March,12,Thursday,51557627,Frank  Moore,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Indeed
3/23/2023,March,12,Thursday,51562215,Bob  Taylor,Dental Receptionist,Screening,Other reasons,3/30/2023,,Indeed
3/24/2023,March,12,Friday,51567875,Grace  Smith,Weekend Dental Assistant,Inbox,Other reasons,3/24/2023,,Monster
3/24/2023,March,12,Friday,51619706,Alice  Wilson,Orthodontic Dental Assistant,Screening,Position Filled,5/8/2023,,Indeed
3/24/2023,March,12,Friday,51625360,Frank  Moore,Dental Patient Relations Manager,Screening,No show,3/30/2023,,Indeed
3/24/2023,March,12,Friday,51628904,Ethan  Miller,Dental Patient Relations Manager,Interview,Unresponsive,3/31/2023,,Indeed
3/24/2023,March,12,Friday,51638253,Bob  Jones,Dental Business Operations Manager,Interview,Unresponsive,4/4/2023,,Indeed
3/24/2023,March,12,Friday,51639640,Bob  Davis,Dental Patient Relations Manager,Screening,No show,3/30/2023,,Indeed
3/25/2023,March,12,Saturday,51647148,John  Johnson,Weekend Dental Assistant,Screening,Unresponsive,4/11/2023,,Indeed
3/25/2023,March,12,Saturday,51678850,Jane  Williams,Dental Receptionist,Inbox,Other reasons,3/30/2023,,ZipRecruiter
3/25/2023,March,12,Saturday,51682926,Diana  Davis,Orthodontic Assistant,Screening,Unresponsive,4/11/2023,,Indeed
3/26/2023,March,12,Sunday,51684998,John  Jones,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Indeed
3/26/2023,March,12,Sunday,51695719,Ethan  Taylor,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Indeed
3/26/2023,March,12,Sunday,51722792,Jane  Davis,Dental Receptionist,Inbox,Other reasons,3/30/2023,,ZipRecruiter
3/27/2023,March,13,Monday,51778325,Diana  Taylor,Dental Receptionist,Inbox,Other reasons,3/30/2023,,ZipRecruiter
3/27/2023,March,13,Monday,51795040,Ethan  Brown,Dental Receptionist,Screening,Other reasons,4/5/2023,,Indeed
3/27/2023,March,13,Monday,51825810,Charlie  Brown,Orthodontist,Screening,Position Filled,5/30/2023,,Indeed
3/28/2023,March,13,Tuesday,51928271,John  Williams,Dental Receptionist,Inbox,Other reasons,4/3/2023,,Indeed
3/28/2023,March,13,Tuesday,51934373,Frank  Moore,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Indeed
3/29/2023,March,13,Wednesday,52026909,Alice  Davis,Dental Business Operations Manager,Interview,More qualified candidate selected,4/10/2023,,Indeed
3/29/2023,March,13,Wednesday,52032988,Diana  Brown,Dental Receptionist,Inbox,Other reasons,3/30/2023,,Google
3/29/2023,March,13,Wednesday,52042394,John  Jones,Dental Patient Relations Manager,Interview,No show,4/4/2023,,Indeed
3/30/2023,March,13,Thursday,52057793,John  Jones,Dental Assistant,Inbox,Other reasons,3/30/2023,,Indeed
3/30/2023,March,13,Thursday,52057938,Alice  Jones,Dental Revenue Cycle Manager,Screening,Commute & location,3/30/2023,,Indeed
3/30/2023,March,13,Thursday,52058439,John  Davis,Dental Revenue Cycle Manager,Screening,Other reasons,3/30/2023,,Indeed
3/30/2023,March,13,Thursday,52097111,Emma  Wilson,Weekend Dental Assistant,Hired,,,4/11/2023,ZipRecruiter
3/30/2023,March,13,Thursday,52117644,Bob  Smith,Dental Scheduling Manager,Screening,Lacking relevant experience,4/10/2023,,Indeed
3/30/2023,March,13,Thursday,52127141,Bob  Johnson,Dental Revenue Cycle Manager,Screening,No show,4/6/2023,,Indeed
3/30/2023,March,13,Thursday,52127415,Diana  Williams,Dental Revenue Cycle Manager,Screening,Salary & Benefits,4/21/2023,,Indeed
3/30/2023,March,13,Thursday,52135653,Bob  Taylor,Dental Revenue Cycle Manager,Inbox,Salary & Benefits not a match,3/31/2023,,Indeed
3/30/2023,March,13,Thursday,52149145,John  Smith,Dental Revenue Cycle Manager,Screening,Unresponsive,4/10/2023,,Indeed
3/31/2023,March,13,Friday,52150241,John  Taylor,Treatment Coordinator/Foreign Dentists,Inbox,Lack of flexibility,4/9/2023,,ZipRecruiter
3/31/2023,March,13,Friday,52151353,Alice  Miller,Dental Revenue Cycle Manager,Inbox,Commute & location,3/31/2023,,Indeed
3/31/2023,March,13,Friday,52152608,Bob  Moore,Treatment Coordinator/Foreign Dentists,Inbox,Other reasons,4/3/2023,,ZipRecruiter
3/31/2023,March,13,Friday,52153849,Grace  Smith,Dental Scheduling Manager,Inbox,Lacking relevant experience,3/31/2023,,Indeed
3/31/2023,March,13,Friday,52213602,Emma  Smith,Dental Receptionist,Inbox,Other reasons,4/3/2023,,Indeed
4/1/2023,April,13,Saturday,52237849,Alice  Johnson,Dental Assistant,Inbox,Other reasons,4/3/2023,,ZipRecruiter
4/2/2023,April,13,Sunday,52277434,Diana  Johnson,Foreign Trained Dentist for Treatment Plan Supervisor,Inbox,Commute & location,4/26/2023,,Indeed
4/2/2023,April,13,Sunday,52279657,Ethan  Moore,Dental Receptionist,Inbox,Other reasons,4/3/2023,,Indeed
4/2/2023,April,13,Sunday,52293231,Grace  Jones,Orthodontic Dental Assistant,Inbox,Commute & location,4/26/2023,,Indeed
4/2/2023,April,13,Sunday,52305664,Diana  Wilson,Weekend Dental Assistant,Inbox,Other reasons,4/3/2023,,Indeed
4/2/2023,April,13,Sunday,52315716,Frank  Davis,Dental Scheduling Manager,Screening,More qualified candidate selected,4/10/2023,,Indeed
4/2/2023,April,13,Sunday,52321593,Jane  Johnson,Dental Receptionist,Inbox,Other reasons,4/3/2023,,Indeed
4/3/2023,April,14,Monday,52325269,Grace  Williams,Treatment Coordinator,Inbox,Other reasons,4/3/2023,,Indeed
4/3/2023,April,14,Monday,52377132,Alice  Johnson,Dental Revenue Cycle Manager,Screening,Unresponsive,4/10/2023,,Indeed
4/3/2023,April,14,Monday,52409785,Jane  Taylor,Dental Receptionist,Inbox,Other reasons,4/3/2023,,Indeed
4/3/2023,April,14,Monday,52413842,Grace  Davis,Dental Billing Coordinator,Inbox,Other reasons,4/4/2023,,Indeed
4/3/2023,April,14,Monday,52414176,Bob  Williams,Dental Receptionist,Inbox,Other reasons,4/5/2023,,ZipRecruiter
4/4/2023,April,14,Tuesday,52442055,Emma  Johnson,Dental Patient Relations Manager,Inbox,Lacking relevant experience,4/4/2023,,Indeed
4/4/2023,April,14,Tuesday,52442177,Jane  Williams,Dental Business Operations Manager,Inbox,Lacking relevant experience,4/4/2023,,Indeed
4/4/2023,April,14,Tuesday,52498617,Bob  Johnson,Dental Billing Coordinator,Screening,More qualified candidate selected,4/21/2023,,Indeed
4/5/2023,April,14,Wednesday,52578470,Diana  Taylor,Dental Assistant,Inbox,Other reasons,4/5/2023,,Indeed
4/5/2023,April,14,Wednesday,52648164,Bob  Williams,Dental Billing Coordinator,Interview,Unresponsive,5/3/2023,,Unknown
4/5/2023,April,14,Wednesday,52656437,John  Davis,Weekend Dental Assistant,Inbox,Unresponsive,4/11/2023,,Indeed
4/6/2023,April,14,Thursday,52718515,Ethan  Miller,Treatment Coordinator,Inbox,Lacking relevant experience,4/7/2023,,Indeed
4/7/2023,April,14,Friday,52736047,Bob  Jones,Dental Receptionist,Screening,Lacking relevant experience,4/9/2023,,Indeed
4/7/2023,April,14,Friday,52737548,Emma  Brown,Dental Receptionist,Inbox,Lacking relevant experience,4/7/2023,,Indeed
4/7/2023,April,14,Friday,52739752,Frank  Davis,Dental Receptionist,Inbox,Lacking relevant experience,4/7/2023,,Indeed
4/7/2023,April,14,Friday,52766473,Alice  Williams,Dental Office Manager,Screening,,,,Indeed
4/7/2023,April,14,Friday,52769882,Emma  Davis,Dental Receptionist,Inbox,Lacking relevant experience,4/7/2023,,Indeed
4/7/2023,April,14,Friday,52770071,Charlie  Taylor,Dental Assistant,Inbox,Lacking relevant experience,4/7/2023,,Indeed
4/7/2023,April,14,Friday,52776168,John  Taylor,Dental Assistant,Screening,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/7/2023,April,14,Friday,52778638,Alice  Taylor,Dental Receptionist,Inbox,Scheduling Issues,4/11/2023,,Indeed
4/7/2023,April,14,Friday,52780389,Jane  Brown,Dental Office Manager,Inbox,Lacking relevant experience,4/9/2023,,Indeed
4/7/2023,April,14,Friday,52783904,Diana  Brown,Dental Receptionist,Inbox,Not a cultural fit,4/9/2023,,Indeed
4/7/2023,April,14,Friday,52787488,Emma  Johnson,Dental Receptionist,Inbox,Lacking relevant experience,4/9/2023,,Indeed
4/7/2023,April,14,Friday,52796089,Grace  Wilson,Dental Receptionist,Inbox,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/7/2023,April,14,Friday,52796331,Frank  Wilson,Dental Assistant,Interview,Unresponsive,4/14/2023,,ZipRecruiter
4/8/2023,April,14,Saturday,52798194,Emma  Jones,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,Google
4/8/2023,April,14,Saturday,52798850,Jane  Brown,Dental Receptionist,Inbox,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/8/2023,April,14,Saturday,52798853,John  Moore,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,Indeed
4/8/2023,April,14,Saturday,52800893,Emma  Williams,Dental Office Manager,Inbox,Lacking relevant experience,4/9/2023,,Indeed
4/8/2023,April,14,Saturday,52805380,Jane  Smith,Treatment Coordinator/Foreign Dentists,Inbox,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/8/2023,April,14,Saturday,52810595,Diana  Wilson,Dental Receptionist,Inbox,Lacking relevant experience,4/9/2023,,Indeed
4/8/2023,April,14,Saturday,52821841,Ethan  Wilson,Dental Office Manager,Screening,Failed Zoom interview,4/11/2023,,Indeed
4/8/2023,April,14,Saturday,52824598,Emma  Taylor,Dental Assistant,Screening,No Show,5/8/2023,,ZipRecruiter
4/8/2023,April,14,Saturday,52831023,Alice  Brown,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,ZipRecruiter
4/8/2023,April,14,Saturday,52837470,Jane  Johnson,Dental Receptionist,Inbox,Lacking relevant experience,4/9/2023,,Indeed
4/8/2023,April,14,Saturday,52840753,Grace  Wilson,Dental Billing Coordinator,Screening,Lacking relevant experience,4/21/2023,,Indeed
4/9/2023,April,14,Sunday,52860688,Diana  Williams,Dental Office Manager,Screening,Rejected - Archived Job Post,7/17/2023,,Indeed
4/9/2023,April,14,Sunday,52877374,John  Williams,Dentist,Inbox,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/9/2023,April,14,Sunday,52877430,Frank  Davis,Dentist,Inbox,Lacking relevant experience,4/9/2023,,ZipRecruiter
4/9/2023,April,14,Sunday,52885148,Diana  Jones,Dental Assistant,Screening,Pipeline,5/8/2023,,Indeed
4/10/2023,April,15,Monday,52888566,Bob  Williams,Dentist,Offer,,,,Jooble
4/10/2023,April,15,Monday,52888619,Ethan  Jones,Dentist,Screening,Pipeline,5/3/2023,,Jooble
4/10/2023,April,15,Monday,52890185,John  Johnson,Dental Billing Coordinator,Screening,Commute & location,4/21/2023,,Indeed
4/10/2023,April,15,Monday,52958108,Frank  Smith,Dental Receptionist,Inbox,Failed Zoom interview,4/11/2023,,Indeed
4/10/2023,April,15,Monday,52969004,Charlie  Brown,Dentist,Screening,Unresponsive,6/1/2023,,ZipRecruiter
4/11/2023,April,15,Tuesday,52983045,Grace  Johnson,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,ZipRecruiter
4/11/2023,April,15,Tuesday,53028272,John  Davis,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,ZipRecruiter
4/11/2023,April,15,Tuesday,53029745,Jane  Johnson,Dental Receptionist,Inbox,Lacking relevant experience,4/11/2023,,Indeed
4/11/2023,April,15,Tuesday,53053226,Grace  Miller,Dentist,Offer,,,,ZipRecruiter
4/11/2023,April,15,Tuesday,53065484,Jane  Moore,Dental Receptionist,Inbox,Lacking relevant experience,4/12/2023,,Indeed
4/11/2023,April,15,Tuesday,53073348,Charlie  Davis,Dental Receptionist,Screening,Lacking relevant experience,5/23/2023,,Indeed
4/11/2023,April,15,Tuesday,53073657,John  Jones,Dental Receptionist,Inbox,Lacking relevant experience,4/17/2023,,ZipRecruiter
4/12/2023,April,15,Wednesday,53080301,Grace  Williams,Dental Receptionist,Inbox,Scheduling Issues,4/12/2023,,ZipRecruiter
4/12/2023,April,15,Wednesday,53150217,Alice  Williams,Dentist,Offer,Lacking relevant experience,5/15/2023,,Unknown
4/12/2023,April,15,Wednesday,53157719,Jane  Brown,Dental Receptionist,Screening,Pipeline,5/9/2023,,Indeed
4/12/2023,April,15,Wednesday,53169457,Ethan  Williams,Dental Office Manager,Inbox,Lacking relevant experience,4/13/2023,,Monster
4/12/2023,April,15,Wednesday,53176519,Grace  Taylor,Dental Assistant,Screening,Salary & Benefits,4/21/2023,,ZipRecruiter
4/13/2023,April,15,Thursday,53252506,Jane  Williams,Dental Receptionist,Inbox,Lacking relevant experience,4/17/2023,,Indeed
4/13/2023,April,15,Thursday,53253777,John  Taylor,Dental Receptionist,Inbox,Lacking relevant experience,4/17/2023,,Indeed
4/13/2023,April,15,Thursday,53277423,Charlie  Taylor,Dental Receptionist,Screening,Commute & location,4/17/2023,,Indeed
4/14/2023,April,15,Friday,53287239,Bob  Smith,Dental Receptionist,Inbox,Lacking relevant experience,4/17/2023,,Indeed
4/14/2023,April,15,Friday,53288528,Alice  Brown,Dental Office Manager,Inbox,Lacking relevant experience,4/14/2023,,Indeed
4/14/2023,April,15,Friday,53291599,Frank  Smith,Dental Receptionist,Inbox,Lacking relevant experience,4/14/2023,,ZipRecruiter
4/14/2023,April,15,Friday,53292849,Bob  Wilson,Dental Receptionist,Screening,Lacking relevant experience,4/26/2023,,Indeed
4/14/2023,April,15,Friday,53297624,Frank  Miller,Dental Receptionist,Inbox,Unresponsive,4/17/2023,,ZipRecruiter
4/15/2023,April,15,Saturday,53393849,Alice  Taylor,Treatment Coordinator/Foreign Dentists,Offer,Rejected - Archived Job Post,5/30/2023,,Unknown
4/15/2023,April,15,Saturday,53395573,Emma  Jones,Dental Receptionist,Interview,No Show,5/8/2023,,Indeed
4/16/2023,April,15,Sunday,53442273,Grace  Jones,Dental Receptionist,Screening,Unresponsive,4/21/2023,,Indeed
4/16/2023,April,15,Sunday,53443362,Ethan  Taylor,Orthodontist,Screening,Position Filled,5/30/2023,,Indeed
4/17/2023,April,16,Monday,53543946,Frank  Wilson,Orthodontist,Screening,Lacking relevant experience,5/16/2023,,Indeed
4/18/2023,April,16,Tuesday,53587891,John  Miller,Dental Receptionist,Inbox,Lacking relevant experience,4/18/2023,,Indeed
4/18/2023,April,16,Tuesday,53669720,Alice  Taylor,Dental Office Manager,Inbox,Lacking relevant experience,4/19/2023,,Indeed
4/18/2023,April,16,Tuesday,53693436,Emma  Smith,Dental Receptionist,Inbox,Lacking relevant experience,4/19/2023,,ZipRecruiter
4/19/2023,April,16,Wednesday,53700388,Grace  Moore,Foreign Trained Dentist for Treatment Plan Supervisor,Inbox,Lacking relevant experience,4/26/2023,,Indeed
4/19/2023,April,16,Wednesday,53774328,Diana  Moore,Dental Assistant,Screening,Lacking relevant experience,5/8/2023,,ZipRecruiter
4/19/2023,April,16,Wednesday,53790546,Charlie  Johnson,Dental Receptionist,Inbox,Lacking relevant experience,4/21/2023,,Indeed
4/20/2023,April,16,Thursday,53797124,Bob  Williams,Dental Office Manager,Inbox,Lacking relevant experience,4/21/2023,,Indeed
4/20/2023,April,16,Thursday,53830405,Emma  Wilson,Dental Receptionist,Inbox,Lacking relevant experience,4/21/2023,,Indeed
4/21/2023,April,16,Friday,53913073,John  Moore,Dental Receptionist,Screening,Lacking relevant experience,5/8/2023,,Indeed
4/21/2023,April,16,Friday,53952585,Grace  Miller,Dental Office Manager,Screening,Lacking relevant experience,5/11/2023,,Indeed
4/22/2023,April,16,Saturday,53997521,Emma  Johnson,Dental Patient Relations Team Leader,Interview,No Show,4/30/2023,,Indeed
4/23/2023,April,16,Sunday,54013132,Bob  Miller,Dental Patient Relations Team Leader,Interview,Failed Zoom interview,5/1/2023,,Indeed
4/23/2023,April,16,Sunday,54015762,Ethan  Davis,Dental Patient Relations Team Leader,Screening,More qualified candidate selected,4/26/2023,,Indeed
4/23/2023,April,16,Sunday,54050595,Alice  Smith,Foreign Trained Dentist for Treatment Plan Supervisor,Inbox,Lacking relevant experience,4/26/2023,,Indeed
4/24/2023,April,17,Monday,54067421,Grace  Jones,Orthodontic Dental Assistant,Screening,Position Filled,5/8/2023,,Indeed
4/24/2023,April,17,Monday,54125946,Diana  Miller,Dental Receptionist,Inbox,Lacking relevant experience,4/26/2023,,ZipRecruiter
4/24/2023,April,17,Monday,54141689,Alice  Williams,Weekend Dental Assistant,Screening,Lacking relevant experience,5/9/2023,,ZipRecruiter
4/24/2023,April,17,Monday,54145694,Charlie  Brown,Dental Assistant,Inbox,Lacking relevant experience,4/26/2023,,ZipRecruiter
4/25/2023,April,17,Tuesday,54170083,Alice  Taylor,Dental Receptionist,Inbox,Lacking relevant experience,4/26/2023,,ZipRecruiter
4/25/2023,April,17,Tuesday,54170591,Alice  Taylor,Dental Office Manager,Screening,,,,ZipRecruiter
4/25/2023,April,17,Tuesday,54174058,Alice  Brown,Foreign Trained Dentist for Treatment Plan Supervisor,Screening,Doctor Rejected,5/8/2023,,Indeed
4/25/2023,April,17,Tuesday,54227287,Alice  Miller,Dental Patient Relations Team Leader,Screening,Lacking relevant experience,4/26/2023,,Indeed
4/25/2023,April,17,Tuesday,54253881,Jane  Brown,Treatment Coordinator,Inbox,Lacking relevant experience,4/26/2023,,Indeed
4/25/2023,April,17,Tuesday,54259909,Charlie  Brown,Foreign Trained Dentist for Treatment Plan Supervisor,Inbox,Never Responded,5/8/2023,,Indeed
4/25/2023,April,17,Tuesday,54269080,Grace  Brown,Dental Patient Relations Team Leader,Hired,,,5/8/2023,ZipRecruiter
